slope,elevation,rainfall_total,rainfall_1h,rainfall_6h,rainfall_12h,rainfall_24h,soil_moisture,soil_type,geology,vegetation_ndvi,land_use,historical_landslide_density,risk_probability,risk_level,source_type
29.6,1020.4,47.9,9.5,23.3,36.6,47.9,0.465,0,2,0.324,3,0.511,0.1968,LOW,DEMO
55.1,250.3,88.3,7.9,38.9,52.5,88.3,0.462,3,2,0.554,0,0.155,0.3625,MEDIUM,DEMO
42.0,1932.9,123.6,13.9,58.3,96.0,123.6,0.473,0,0,0.41,2,0.672,0.5038,HIGH,DEMO
36.8,934.7,78.6,9.3,28.4,56.1,78.6,0.425,2,2,0.441,3,0.086,0.2378,LOW,DEMO
20.9,233.9,97.2,6.8,33.5,61.3,97.2,0.326,0,0,0.162,2,0.064,0.232,LOW,DEMO
20.9,3031.2,73.8,12.2,35.9,51.5,73.8,0.435,2,0,0.643,0,0.386,0.2101,LOW,DEMO
14.7,737.5,107.0,16.1,45.1,81.2,107.0,0.408,3,0,0.268,2,0.005,0.2893,MEDIUM,DEMO
48.7,148.1,28.0,4.0,10.3,15.5,28.0,0.306,0,0,0.476,2,0.502,0.283,MEDIUM,DEMO
36.9,967.2,176.3,20.5,89.3,130.7,176.3,0.541,3,1,0.45,0,0.107,0.504,HIGH,DEMO
41.0,342.8,45.7,5.0,19.6,32.6,45.7,0.304,0,0,0.476,2,0.18,0.2414,LOW,DEMO
10.8,1545.3,71.1,11.5,30.0,43.8,71.1,0.373,0,3,0.405,2,0.269,0.1707,LOW,DEMO
57.3,1612.5,14.7,2.5,6.2,11.4,14.7,0.281,3,3,0.304,0,0.233,0.2274,LOW,DEMO
46.8,3554.7,52.6,4.2,20.4,33.7,52.6,0.346,2,3,0.461,3,0.384,0.2371,LOW,DEMO
23.5,707.2,90.7,13.6,37.7,57.4,90.7,0.418,0,2,0.155,0,0.297,0.2226,LOW,DEMO
22.2,626.2,190.9,28.8,66.0,132.0,190.9,0.523,3,3,0.304,1,0.364,0.4608,MEDIUM,DEMO
22.2,1340.3,110.1,9.7,44.1,82.9,110.1,0.571,2,0,0.716,0,0.518,0.2681,MEDIUM,DEMO
27.2,207.9,55.5,9.6,29.7,46.0,55.5,0.365,0,1,0.761,2,0.164,0.1898,LOW,DEMO
34.3,792.5,22.0,2.5,8.4,13.0,22.0,0.313,3,0,0.664,0,0.55,0.1537,LOW,DEMO
31.5,791.2,164.0,31.1,65.6,109.7,164.0,0.538,1,1,0.601,0,0.066,0.4268,MEDIUM,DEMO
26.7,164.4,53.7,5.4,21.1,30.6,53.7,0.306,1,2,0.737,0,0.645,0.1375,LOW,DEMO
37.3,567.1,90.5,12.4,41.9,70.4,90.5,0.426,2,1,0.217,2,0.339,0.3604,MEDIUM,DEMO
20.0,1807.3,55.7,12.8,27.2,38.1,55.7,0.368,2,0,0.519,0,0.734,0.2069,LOW,DEMO
26.8,1825.1,97.9,15.0,50.0,74.6,97.9,0.497,2,1,0.208,2,0.143,0.3214,MEDIUM,DEMO
29.4,174.1,159.6,20.2,56.2,103.2,159.6,0.65,3,0,0.711,2,0.438,0.5017,HIGH,DEMO
32.2,165.6,119.8,11.5,54.7,96.2,119.8,0.546,3,2,0.516,0,0.029,0.2703,MEDIUM,DEMO
44.4,354.3,62.9,14.4,29.0,44.7,62.9,0.278,0,1,0.736,1,0.154,0.3416,MEDIUM,DEMO
23.0,1949.8,166.4,44.6,99.6,138.6,166.4,0.536,3,3,0.727,1,0.035,0.3706,MEDIUM,DEMO
34.0,204.2,216.4,24.4,62.5,124.2,216.4,0.669,1,3,0.474,1,0.222,0.5527,HIGH,DEMO
36.6,1225.7,139.2,12.9,59.2,98.0,139.2,0.488,1,0,0.498,3,0.353,0.439,MEDIUM,DEMO
13.7,176.0,56.9,4.8,21.5,44.4,56.9,0.353,3,3,0.141,0,0.054,0.1122,LOW,DEMO
37.1,958.3,127.1,18.0,49.5,92.8,127.1,0.379,2,3,0.518,2,0.574,0.4062,MEDIUM,DEMO
21.6,476.1,138.3,14.4,50.5,77.0,138.3,0.553,1,1,0.635,3,0.479,0.3509,MEDIUM,DEMO
15.3,1479.9,63.7,9.8,25.4,53.6,63.7,0.274,2,2,0.298,0,0.253,0.1387,LOW,DEMO
54.9,319.6,216.4,34.1,89.8,138.4,216.4,0.573,1,0,0.87,2,0.434,0.7392,HIGH,DEMO
56.8,997.5,155.2,31.5,69.8,97.0,155.2,0.487,0,3,0.861,2,0.343,0.6089,HIGH,DEMO
45.5,321.9,66.0,9.7,34.0,45.9,66.0,0.368,3,1,0.335,1,0.676,0.3905,MEDIUM,DEMO
27.2,1205.5,56.8,7.8,20.9,40.5,56.8,0.274,2,3,0.662,1,0.094,0.1571,LOW,DEMO
17.6,1942.0,136.3,31.1,71.7,106.3,136.3,0.45,2,0,0.143,0,0.475,0.3671,MEDIUM,DEMO
40.0,202.0,251.8,42.5,122.4,168.2,251.8,0.775,1,2,0.626,2,0.286,0.6093,HIGH,DEMO
31.7,1892.9,29.6,4.3,9.6,20.2,29.6,0.299,0,1,0.594,0,0.167,0.1379,LOW,DEMO
19.1,890.3,100.9,9.9,41.2,71.7,100.9,0.459,3,0,0.745,1,0.186,0.2531,MEDIUM,DEMO
33.4,202.4,125.6,25.6,60.9,84.0,125.6,0.422,1,3,0.351,3,0.259,0.3578,MEDIUM,DEMO
12.5,582.0,158.7,32.3,66.8,130.8,158.7,0.542,0,1,0.787,0,0.007,0.324,MEDIUM,DEMO
51.6,237.8,126.4,22.3,74.3,101.8,126.4,0.478,3,2,0.772,1,0.051,0.5159,HIGH,DEMO
25.5,1164.6,54.2,7.0,22.6,37.2,54.2,0.311,3,1,0.629,1,0.295,0.1884,LOW,DEMO
39.2,1360.2,26.9,1.6,7.1,14.8,26.9,0.297,2,3,0.479,1,0.21,0.1592,LOW,DEMO
27.5,180.6,61.3,11.5,29.4,50.3,61.3,0.269,0,2,0.59,1,0.23,0.1947,LOW,DEMO
34.2,715.0,123.8,14.6,39.8,72.7,123.8,0.502,0,0,0.675,0,0.262,0.3662,MEDIUM,DEMO
35.0,1596.8,50.1,3.5,16.7,31.3,50.1,0.323,1,2,0.861,1,0.265,0.1669,LOW,DEMO
22.3,2556.3,174.0,27.0,63.5,103.7,174.0,0.56,2,0,0.213,1,0.552,0.5303,HIGH,DEMO
57.2,728.5,69.5,11.2,25.0,42.0,69.5,0.422,2,2,0.358,1,0.376,0.4567,MEDIUM,DEMO
43.9,2781.2,47.9,10.6,22.5,37.9,47.9,0.361,2,0,0.713,0,0.321,0.2713,MEDIUM,DEMO
54.1,770.5,108.2,13.6,37.3,78.3,108.2,0.435,1,1,0.431,0,0.065,0.4783,MEDIUM,DEMO
50.6,531.1,64.8,12.6,37.4,54.2,64.8,0.314,2,2,0.631,1,0.049,0.3417,MEDIUM,DEMO
36.8,1776.7,55.7,9.5,20.5,34.5,55.7,0.42,2,1,0.221,0,0.126,0.2377,LOW,DEMO
52.6,691.3,233.5,36.2,113.1,162.4,233.5,0.617,2,1,0.659,0,0.522,0.7007,HIGH,DEMO
17.0,654.6,49.9,11.6,29.4,42.1,49.9,0.374,3,3,0.632,2,0.526,0.1547,LOW,DEMO
22.8,686.6,59.8,10.0,26.0,47.7,59.8,0.281,3,0,0.565,0,0.431,0.1834,LOW,DEMO
13.6,1768.3,109.2,11.8,37.9,84.0,109.2,0.499,0,1,0.702,1,0.141,0.2607,MEDIUM,DEMO
28.0,1685.1,172.4,17.1,75.7,104.6,172.4,0.621,3,0,0.789,2,0.179,0.4765,MEDIUM,DEMO
30.1,545.0,102.7,11.2,54.4,80.2,102.7,0.345,0,1,0.75,0,0.133,0.2416,LOW,DEMO
26.0,444.9,81.3,8.4,25.6,53.2,81.3,0.423,3,0,0.217,0,0.374,0.2356,LOW,DEMO
46.6,689.4,250.0,40.3,117.1,177.3,250.0,0.733,2,1,0.686,1,0.029,0.6908,HIGH,DEMO
29.0,845.4,57.9,8.6,19.3,42.4,57.9,0.393,2,0,0.462,0,0.048,0.1903,LOW,DEMO
26.3,325.0,58.1,6.3,19.5,42.6,58.1,0.376,1,3,0.374,0,0.617,0.1556,LOW,DEMO
34.9,1501.7,50.4,6.7,23.5,38.7,50.4,0.296,0,0,0.789,0,0.115,0.1806,LOW,DEMO
20.1,679.8,98.7,12.0,35.4,73.9,98.7,0.422,0,0,0.545,0,0.537,0.2505,MEDIUM,DEMO
45.2,445.9,40.1,4.6,16.9,22.9,40.1,0.408,3,1,0.501,3,0.426,0.259,MEDIUM,DEMO
16.0,181.7,32.6,3.7,16.1,22.4,32.6,0.255,1,0,0.716,0,0.197,0.105,LOW,DEMO
59.9,325.6,59.7,6.7,28.8,44.7,59.7,0.377,1,0,0.541,1,0.452,0.4798,MEDIUM,DEMO
43.8,2763.3,21.1,1.9,6.3,13.5,21.1,0.347,3,2,0.772,1,0.051,0.1653,LOW,DEMO
22.9,407.6,90.6,6.5,31.9,58.3,90.6,0.369,1,1,0.198,1,0.298,0.2455,LOW,DEMO
8.0,246.5,98.8,8.7,32.6,58.1,98.8,0.363,2,0,0.71,1,0.37,0.237,LOW,DEMO
45.9,635.7,109.9,19.2,44.1,74.2,109.9,0.391,1,0,0.245,2,0.304,0.5207,HIGH,DEMO
40.9,410.2,130.6,15.0,55.3,110.5,130.6,0.512,0,1,0.291,3,0.378,0.48,MEDIUM,DEMO
41.8,112.2,60.9,5.6,24.1,38.7,60.9,0.299,3,2,0.256,0,0.41,0.2208,LOW,DEMO
43.7,431.3,160.4,32.0,66.1,113.8,160.4,0.541,2,0,0.301,0,0.192,0.5651,HIGH,DEMO
16.0,787.0,150.7,33.1,85.5,116.5,150.7,0.599,0,0,0.676,3,0.3,0.388,MEDIUM,DEMO
